iso3,year,variable,value
EAS,2024,pobreza_300,2.0
EAS,2023,pobreza_300,2.2
EAS,2022,pobreza_300,2.4
EAS,2021,pobreza_300,2.6
EAS,2020,pobreza_300,2.7
EAS,2019,pobreza_300,2.6
EAS,2018,pobreza_300,3.3
EAS,2017,pobreza_300,4.1
EAS,2016,pobreza_300,5.0
EAS,2015,pobreza_300,6.1
EAS,2014,pobreza_300,7.8
EAS,2013,pobreza_300,9.0
EAS,2012,pobreza_300,13.2
EAS,2011,pobreza_300,15.3
EAS,2010,pobreza_300,18.9
EAS,2009,pobreza_300,21.4
EAS,2008,pobreza_300,23.4
EAS,2007,pobreza_300,25.0
EAS,2006,pobreza_300,27.7
EAS,2005,pobreza_300,28.9
EAS,2004,pobreza_300,32.9
EAS,2003,pobreza_300,36.2
EAS,2002,pobreza_300,40.0
EAS,2001,pobreza_300,44.1
EAS,2000,pobreza_300,46.6
ECS,2024,pobreza_300,0.6
ECS,2023,pobreza_300,0.7
ECS,2022,pobreza_300,0.8
ECS,2021,pobreza_300,0.8
ECS,2020,pobreza_300,0.8
ECS,2019,pobreza_300,0.8
ECS,2018,pobreza_300,0.8
ECS,2017,pobreza_300,1.0
ECS,2016,pobreza_300,1.0
ECS,2015,pobreza_300,1.2
ECS,2014,pobreza_300,1.2
ECS,2013,pobreza_300,1.1
ECS,2012,pobreza_300,3.6
ECS,2011,pobreza_300,3.6
ECS,2010,pobreza_300,3.8
ECS,2009,pobreza_300,3.7
ECS,2008,pobreza_300,3.7
ECS,2007,pobreza_300,4.0
ECS,2006,pobreza_300,4.4
ECS,2005,pobreza_300,5.0
ECS,2004,pobreza_300,5.1
ECS,2003,pobreza_300,6.0
ECS,2002,pobreza_300,6.2
ECS,2001,pobreza_300,6.9
ECS,2000,pobreza_300,7.6
IDA,2024,pobreza_300,35.9
IDA,2023,pobreza_300,36.1
IDA,2022,pobreza_300,35.9
IDA,2021,pobreza_300,36.2
IDA,2020,pobreza_300,35.7
IDA,2019,pobreza_300,33.9
IDA,2018,pobreza_300,34.0
IDA,2017,pobreza_300,34.7
IDA,2016,pobreza_300,35.6
IDA,2015,pobreza_300,36.0
IDA,2014,pobreza_300,36.2
IDA,2013,pobreza_300,37.1
IDA,2012,pobreza_300,39.6
IDA,2011,pobreza_300,40.9
IDA,2010,pobreza_300,41.8
IDA,2009,pobreza_300,43.9
IDA,2008,pobreza_300,44.3
