iso3,year,variable,value
AFW,2022,unemployment_global,3.34061439909144
AFW,2019,unemployment_global,3.6925423524759
AFW,2017,unemployment_global,7.24552779596263
AFW,2014,unemployment_global,4.44593504759302
ARB,2016,unemployment_global,9.67841516951048
ARB,2014,unemployment_global,10.8373821052262
ARB,2012,unemployment_global,10.6951540677382
ARB,2011,unemployment_global,12.0571306166476
ARB,2010,unemployment_global,9.37034844122666
ARB,2009,unemployment_global,9.57882361717494
ARB,2008,unemployment_global,9.80394859842949
ARB,2007,unemployment_global,9.75346967099571
ARB,2006,unemployment_global,10.3586811683813
ARB,2005,unemployment_global,11.3340383201648
CSS,2019,unemployment_global,7.89834422046161
CSS,2016,unemployment_global,7.03903785730386
CSS,2015,unemployment_global,5.99283950990689
CSS,2014,unemployment_global,6.54376175291748
CSS,2013,unemployment_global,7.8425611158767
CSS,2006,unemployment_global,8.21889782577187
CSS,2002,unemployment_global,10.9865557082353
CSS,1999,unemployment_global,12.4043889204698
CSS,1998,unemployment_global,13.0800393049468
CSS,1997,unemployment_global,13.839619158563
CSS,1996,unemployment_global,14.7578286398536
CSS,1995,unemployment_global,15.2247564199171
CEB,2023,unemployment_global,4.01230416616797
CEB,2022,unemployment_global,3.96540582731722
CEB,2021,unemployment_global,4.44508031221282
CEB,2020,unemployment_global,4.3496421220328
CEB,2019,unemployment_global,3.76072643211224
CEB,2018,unemployment_global,4.29483445753775
CEB,2017,unemployment_global,5.27719000843769
CEB,2016,unemployment_global,6.47626986745334
CEB,2015,unemployment_global,7.81260796234007
CEB,2014,unemployment_global,8.87370489824698
CEB,2013,unemployment_global,10.076189699493
CEB,2012,unemployment_global,10.014837051229
CEB,2011,unemployment_global,9.80960842319458
CEB,2010,unemployment_global,9.92718738959061
CEB,2009,unemployment_global,8.51650875155537
CEB,2008,unemployment_global,6.60116715977237
CEB,2007,unemployment_global,7.80912922603523
CEB,2006,unemployment_global,10.124914494498
CEB,2005,unemployment_global,12.0311529429654
CEB,2004,unemployment_global,12.8914606604503
CEB,2003,unemployment_global,13.2764246828022
CEB,2002,unemployment_global,13.9609765303477
CEB,2001,unemployment_global,13.4981128132324
CEB,2000,unemployment_global,12.1493697321005
CEB,1999,unemployment_global,10.6183180697798
CEB,1998,unemployment_global,9.18697418361695
CEB,1997,unemployment_global,9.39453924625029
CEB,1996,unemployment_global,10.2984761513615
CEB,1995,unemployment_global,11.110919895459
EAR,2023,unemployment_global,4.91778897352797
EAR,2022,unemployment_global,5.55491448908438
EAR,2021,unemployment_global,6.59769066712688
EAR,2020,unemployment_global,7.47626008341306
EAR,2019,unemployment_global,6.40302378724246
EAR,2018,unemployment_global,7.00912648484673
EAR,2012,unemployment_global,5.03188621936653
EAR,2010,unemployment_global,4.91332859541828
EAR,2005,unemployment_global,5.92103930982627
EAR,2000,unemployment_global,5.43999205282052
EAS,2022,unemployment_global,3.90327291076306
EAS,2021,unemployment_global,4.4341459633891
EAS,2020,unemployment_global,4.69775023840266
EAS,2019,unemployment_global,4.20764102715085
EAS,2018,unemployment_global,4.18374365998897
EAS,2017,unemployment_global,3.44256865045303
EAS,2016,unemployment_global,3.60042728604668
