iso3,year,variable,value
AFG,2024,spi_overall,54.38625
AFG,2023,spi_overall,56.7495833333333
AFG,2022,spi_overall,58.9883333333333
AFG,2021,spi_overall,59.1775
AFG,2020,spi_overall,55.56
AFG,2019,spi_overall,51.9295833333333
AFG,2018,spi_overall,52.3483333333333
AFG,2017,spi_overall,45.08125
AFG,2016,spi_overall,39.72625
ALB,2024,spi_overall,83.65375
ALB,2023,spi_overall,85.0770833333333
ALB,2022,spi_overall,84.42625
ALB,2021,spi_overall,85.7804166666667
ALB,2020,spi_overall,81.3175
ALB,2019,spi_overall,76.0429166666667
ALB,2018,spi_overall,78.5966666666667
ALB,2017,spi_overall,68.6583333333333
ALB,2016,spi_overall,64.905
DZA,2024,spi_overall,55.2375
DZA,2023,spi_overall,57.3629166666667
DZA,2022,spi_overall,60.9066666666667
DZA,2021,spi_overall,63.8041666666667
DZA,2020,spi_overall,53.74625
DZA,2019,spi_overall,58.3225
DZA,2018,spi_overall,55.9183333333333
DZA,2017,spi_overall,48.5445833333333
DZA,2016,spi_overall,44.7304166666667
AND,2024,spi_overall,49.8675
AND,2023,spi_overall,44.7966666666667
AND,2022,spi_overall,40.3679166666667
AGO,2024,spi_overall,58.1520833333333
AGO,2023,spi_overall,57.5958333333333
AGO,2022,spi_overall,54.9670833333333
AGO,2021,spi_overall,56.45625
AGO,2020,spi_overall,59.17
AGO,2019,spi_overall,57.9525
AGO,2018,spi_overall,54.5720833333333
AGO,2017,spi_overall,48.3595833333333
AGO,2016,spi_overall,47.3954166666667
ATG,2024,spi_overall,63.2108333333333
ATG,2023,spi_overall,60.3175
ATG,2022,spi_overall,51.6395833333333
ATG,2021,spi_overall,50.2375
ATG,2020,spi_overall,44.4720833333333
ARG,2024,spi_overall,80.3908333333333
ARG,2023,spi_overall,79.1854166666667
ARG,2022,spi_overall,76.4691666666667
ARG,2021,spi_overall,77.7279166666667
ARG,2020,spi_overall,72.1175
ARG,2019,spi_overall,69.4391666666667
ARG,2018,spi_overall,68.9429166666667
ARG,2017,spi_overall,69.0958333333333
ARG,2016,spi_overall,65.4683333333333
ARM,2024,spi_overall,82.1804166666667
ARM,2023,spi_overall,83.3645833333333
ARM,2022,spi_overall,85.0583333333333
ARM,2021,spi_overall,85.8125
ARM,2020,spi_overall,82.9383333333333
ARM,2019,spi_overall,82.2266666666667
ARM,2018,spi_overall,83.0604166666667
ARM,2017,spi_overall,82.04625
ARM,2016,spi_overall,79.7416666666667
AUS,2024,spi_overall,88.9708333333333
AUS,2023,spi_overall,88.86625
AUS,2022,spi_overall,87.82625
AUS,2021,spi_overall,87.0045833333333
AUS,2020,spi_overall,83.7279166666667
AUS,2019,spi_overall,84.2416666666667
AUS,2018,spi_overall,84.3641666666667
AUS,2017,spi_overall,85.0633333333333
AUS,2016,spi_overall,83.4166666666667
AUT,2024,spi_overall,89.3479166666667
AUT,2023,spi_overall,92.6466666666667
AUT,2022,spi_overall,90.1029166666667
AUT,2021,spi_overall,90.9641666666667
AUT,2020,spi_overall,88.4525
AUT,2019,spi_overall,86.7933333333334
AUT,2018,spi_overall,87.8383333333334
AUT,2017,spi_overall,86.2295833333333
AUT,2016,spi_overall,86.3220833333333
AZE,2024,spi_overall,69.48875
AZE,2023,spi_overall,66.78625
AZE,2022,spi_overall,70.7791666666667
AZE,2021,spi_overall,73.00375
AZE,2020,spi_overall,70.8670833333333
AZE,2019,spi_overall,68.47125
AZE,2018,spi_overall,68.48625
AZE,2017,spi_overall,60.705
AZE,2016,spi_overall,54.12875
BHS,2024,spi_overall,51.2570833333333
BHS,2023,spi_overall,51.7666666666667
BHS,2022,spi_overall,53.2491666666667
BHS,2021,spi_overall,53.1579166666667
BHS,2020,spi_overall,48.4733333333333
BHS,2019,spi_overall,45.4541666666667
BHS,2018,spi_overall,48.9258333333333
BHS,2017,spi_overall,38.7033333333333
BHS,2016,spi_overall,36.7020833333333
BHR,2024,spi_overall,51.96125
