iso3,year,variable,value
USA,1929,exp_total,8.3027276992798
USA,1930,exp_total,9.9001731872559
USA,1931,exp_total,13.828481674194
USA,1932,exp_total,16.020967483521
USA,1933,exp_total,17.87801361084
USA,1934,exp_total,19.438621520996
USA,1935,exp_total,18.388761520386
USA,1936,exp_total,16.896144866943
USA,1937,exp_total,14.609206199646
USA,1938,exp_total,16.937219619751
USA,1939,exp_total,17.316480636597
USA,1940,exp_total,16.515222549438
USA,1941,exp_total,17.414873123169
USA,1942,exp_total,25.664047241211
USA,1943,exp_total,31.938014984131
USA,1944,exp_total,35.187370300293
USA,1945,exp_total,36.61247253418
USA,1946,exp_total,26.02984046936
USA,1947,exp_total,21.819114685059
USA,1948,exp_total,21.013744354248
USA,1949,exp_total,23.491695404053
USA,1950,exp_total,22.153442382812
USA,1951,exp_total,22.668153762817
USA,1952,exp_total,24.387966156006
USA,1953,exp_total,24.604463577271
USA,1954,exp_total,24.377477645874
USA,1955,exp_total,23.182867050171
USA,1956,exp_total,23.057596206665
USA,1957,exp_total,24.064264297485
USA,1958,exp_total,25.725589752197
USA,1959,exp_total,24.700281143188
USA,1960,exp_total,24.903480529785
USA,1961,exp_total,25.853019714355
USA,1962,exp_total,26.016935348511
USA,1963,exp_total,26.002979278564
USA,1964,exp_total,25.573150634766
USA,1965,exp_total,25.350234985352
USA,1966,exp_total,26.289318084717
USA,1967,exp_total,28.314142227173
USA,1968,exp_total,29.074438095093
USA,1969,exp_total,29.320421218872
USA,1970,exp_total,31.450859069824
USA,1971,exp_total,32.33317565918
USA,1972,exp_total,32.761920928955
USA,1973,exp_total,31.921472549438
USA,1974,exp_total,32.928089141846
USA,1975,exp_total,35.22473526001
USA,1976,exp_total,34.16760635376
USA,1977,exp_total,33.388477325439
USA,1978,exp_total,32.607341766357
USA,1979,exp_total,32.044052124023
USA,1980,exp_total,33.747371673584
USA,1981,exp_total,33.887157440186
USA,1982,exp_total,35.806537628174
USA,1983,exp_total,35.653343200684
USA,1984,exp_total,34.277530670166
USA,1985,exp_total,34.451766967773
USA,1986,exp_total,34.83239364624
USA,1987,exp_total,34.29557800293
USA,1988,exp_total,33.688110351562
USA,1989,exp_total,33.723602294922
USA,1990,exp_total,34.499000549316
USA,1991,exp_total,35.663608551025
USA,1992,exp_total,36.744983673096
USA,1993,exp_total,36.377933502197
USA,1994,exp_total,35.459712982178
USA,1995,exp_total,35.484634399414
USA,1996,exp_total,34.722873687744
USA,1997,exp_total,33.669456481934
USA,1998,exp_total,32.750873565674
USA,1999,exp_total,32.172679901123
USA,2000,exp_total,31.734134674072
USA,2001,exp_total,32.801413731433
USA,2002,exp_total,33.698273416841
USA,2003,exp_total,34.037053362953
USA,2004,exp_total,33.719251791024
USA,2005,exp_total,33.927917356893
USA,2006,exp_total,33.691703581459
USA,2007,exp_total,34.561714769332
USA,2008,exp_total,37.144082370505
USA,2009,exp_total,41.398656932391
USA,2010,exp_total,39.762625029279
USA,2011,exp_total,38.795914671573
USA,2012,exp_total,37.222730474746
USA,2013,exp_total,35.782319131196
USA,2014,exp_total,35.3239371029
USA,2015,exp_total,35.030948346543
USA,2016,exp_total,35.333067445187
USA,2017,exp_total,35.19407406652
USA,2018,exp_total,35.349343609344
USA,2019,exp_total,35.818945936567
USA,2020,exp_total,44.72228310513
USA,2021,exp_total,43.201282156653
USA,2022,exp_total,36.78994112364
USA,2023,exp_total,37.650026068353
USA,2024,exp_total,37.917876030221
GBR,1830,exp_total,11.828900337219
GBR,1831,exp_total,11.54109954834
GBR,1832,exp_total,12.180600166321
GBR,1833,exp_total,11.893199920654
