iso3,categoria,year,pct_gdp
ABW,rev_total,1995,25.49816
ABW,rev_total,1996,25.11417
ABW,rev_total,1997,22.8869
ABW,rev_total,1998,21.686863
ABW,rev_total,1999,22.884471
ABW,rev_total,2000,22.249325
ABW,rev_total,2001,21.673331
ABW,rev_total,2002,21.490861
ABW,rev_total,2003,27.030739
ABW,rev_total,2004,20.714149
ABW,rev_total,2005,21.52105
ABW,rev_total,2006,22.285454
ABW,rev_total,2007,21.574026
ABW,rev_total,2008,26.824561
ABW,rev_total,2009,24.257225
ABW,rev_total,2010,26.956239
ABW,rev_total,2011,20.77108
ABW,rev_total,2012,21.804136
ABW,rev_total,2013,23.406412
ABW,rev_total,2014,22.377598
ABW,rev_total,2015,23.897984
ABW,rev_total,2016,23.664056
ABW,rev_total,2017,21.971303
ABW,rev_total,2018,22.221708
ABW,rev_total,2019,23.786308
ABW,rev_total,2020,25.008687
ABW,rev_total,2021,21.408372
ABW,rev_total,2022,23.020645
ABW,rev_total,2023,25.496911
ABW,rev_total,2024,24.9942
AFG,rev_total,2003,9.8258289
AFG,rev_total,2004,12.675875
AFG,rev_total,2005,14.733477
AFG,rev_total,2006,18.945912
AFG,rev_total,2007,18.985791
AFG,rev_total,2008,17.035779
AFG,rev_total,2009,19.390545
AFG,rev_total,2010,21.722488
AFG,rev_total,2011,21.264824
AFG,rev_total,2012,25.210262
AFG,rev_total,2013,24.34603
AFG,rev_total,2014,23.683652
AFG,rev_total,2015,24.569041
AFG,rev_total,2016,28.156233
AFG,rev_total,2017,27.058725
AFG,rev_total,2018,30.56983
AFG,rev_total,2019,26.940939
AFG,rev_total,2020,25.694222
AFG,rev_total,2021,17.448934
AFG,rev_total,2022,15.118252
AFG,rev_total,2023,15.637282
AFG,rev_total,2024,18.842582
AGO,rev_total,1996,29.740116
AGO,rev_total,1997,26.528949
AGO,rev_total,1998,21.013171
AGO,rev_total,1999,31.279343
AGO,rev_total,2000,37.842142
AGO,rev_total,2001,33.079107
AGO,rev_total,2002,25.324149
AGO,rev_total,2003,26.020354
AGO,rev_total,2004,27.031697
AGO,rev_total,2005,30.094659
AGO,rev_total,2006,35.746132
AGO,rev_total,2007,37.924694
AGO,rev_total,2008,43.405046
AGO,rev_total,2009,31.932822
AGO,rev_total,2010,37.528459
AGO,rev_total,2011,40.497596
