FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,HR,N,628,0,,,,1997-Q1,48.0071,A,F,
Q,HR,N,628,0,,,,1997-Q2,47.9528,A,F,
Q,HR,N,628,0,,,,1997-Q3,50.159,A,F,
Q,HR,N,628,0,,,,1997-Q4,51.4212,A,F,
Q,HR,N,628,0,,,,1998-Q1,53.1302,A,F,
Q,HR,N,628,0,,,,1998-Q2,52.9364,A,F,
Q,HR,N,628,0,,,,1998-Q3,53.0999,A,F,
Q,HR,N,628,0,,,,1998-Q4,52.4422,A,F,
Q,HR,N,628,0,,,,1999-Q1,52.0745,A,F,
Q,HR,N,628,0,,,,1999-Q2,53.5075,A,F,
Q,HR,N,628,0,,,,1999-Q3,53.716,A,F,
Q,HR,N,628,0,,,,1999-Q4,54.0598,A,F,
Q,HR,N,628,0,,,,2000-Q1,55.1148,A,F,
Q,HR,N,628,0,,,,2000-Q2,53.9377,A,F,
Q,HR,N,628,0,,,,2000-Q3,50.8439,A,F,
Q,HR,N,628,0,,,,2000-Q4,49.1715,A,F,
Q,HR,N,628,0,,,,2001-Q1,54.7893,A,F,
Q,HR,N,628,0,,,,2001-Q2,55.4749,A,F,
Q,HR,N,628,0,,,,2001-Q3,50.6864,A,F,
Q,HR,N,628,0,,,,2001-Q4,51.9917,A,F,
Q,HR,N,628,0,,,,2002-Q1,55.0351,A,F,
Q,HR,N,628,0,,,,2002-Q2,54.4014,A,F,
Q,HR,N,628,0,,,,2002-Q3,57.4791,A,F,
Q,HR,N,628,0,,,,2002-Q4,57.8411,A,F,
Q,HR,N,628,0,,,,2003-Q1,63.0007,A,F,
Q,HR,N,628,0,,,,2003-Q2,64.811,A,F,
Q,HR,N,628,0,,,,2003-Q3,65.4447,A,F,
Q,HR,N,628,0,,,,2003-Q4,69.9706,A,F,
Q,HR,N,628,0,,,,2004-Q1,71.3284,A,F,
Q,HR,N,628,0,,,,2004-Q2,73.6818,A,F,
Q,HR,N,628,0,,,,2004-Q3,76.3069,A,F,
Q,HR,N,628,0,,,,2004-Q4,81.0138,A,F,
Q,HR,N,628,0,,,,2005-Q1,81.0138,A,F,
Q,HR,N,628,0,,,,2005-Q2,84.4535,A,F,
Q,HR,N,628,0,,,,2005-Q3,85.8113,A,F,
Q,HR,N,628,0,,,,2005-Q4,90.2467,A,F,
Q,HR,N,628,0,,,,2006-Q1,93.7769,A,F,
Q,HR,N,628,0,,,,2006-Q2,95.1346,A,F,
Q,HR,N,628,0,,,,2006-Q3,97.3976,A,F,
Q,HR,N,628,0,,,,2006-Q4,104.0054,A,F,
Q,HR,N,628,0,,,,2007-Q1,107.0831,A,F,
Q,HR,N,628,0,,,,2007-Q2,111.3374,A,F,
Q,HR,N,628,0,,,,2007-Q3,113.2383,A,F,
Q,HR,N,628,0,,,,2007-Q4,112.6952,A,F,
Q,HR,N,628,0,,,,2008-Q1,111.5184,A,F,
Q,HR,N,628,0,,,,2008-Q2,112.2426,A,F,
Q,HR,N,628,0,,,,2008-Q3,114.3245,A,F,
Q,HR,N,628,0,,,,2008-Q4,111.3374,A,F,
Q,HR,N,628,0,,,,2009-Q1,110.9753,A,F,
Q,HR,N,628,0,,,,2009-Q2,107.2641,A,F,
Q,HR,N,628,0,,,,2009-Q3,105.3632,A,F,
Q,HR,N,628,0,,,,2009-Q4,103.4623,A,F,
Q,HR,N,628,0,,,,2010-Q1,101.4709,A,F,
Q,HR,N,628,0,,,,2010-Q2,100.0226,A,F,
Q,HR,N,628,0,,,,2010-Q3,99.1174,A,F,
Q,HR,N,628,0,,,,2010-Q4,99.389,A,F,
Q,HR,N,628,0,,,,2011-Q1,98.4838,A,F,
Q,HR,N,628,0,,,,2011-Q2,100.0226,A,F,
Q,HR,N,628,0,,,,2011-Q3,100.7468,A,F,
Q,HR,N,628,0,,,,2011-Q4,101.3804,A,F,
Q,HR,N,628,0,,,,2012-Q1,100.8373,A,F,
Q,HR,N,628,0,,,,2012-Q2,99.4795,A,F,
Q,HR,N,628,0,,,,2012-Q3,98.7554,A,F,
Q,HR,N,628,0,,,,2012-Q4,95.4062,A,F,
Q,HR,N,628,0,,,,2013-Q1,95.3157,A,F,
Q,HR,N,628,0,,,,2013-Q2,94.6821,A,F,
Q,HR,N,628,0,,,,2013-Q3,95.0441,A,F,
Q,HR,N,628,0,,,,2013-Q4,93.7769,A,F,
Q,HR,N,628,0,,,,2014-Q1,93.1432,A,F,
Q,HR,N,628,0,,,,2014-Q2,93.9579,A,F,
Q,HR,N,628,0,,,,2014-Q3,93.2338,A,F,
Q,HR,N,628,0,,,,2014-Q4,92.4191,A,F,
Q,HR,N,628,0,,,,2015-Q1,91.5139,A,F,
Q,HR,N,628,0,,,,2015-Q2,89.7036,A,F,
Q,HR,N,628,0,,,,2015-Q3,90.4277,A,F,
Q,HR,N,628,0,,,,2015-Q4,90.5182,A,F,
Q,HR,N,628,0,,,,2016-Q1,91.6044,A,F,
Q,HR,N,628,0,,,,2016-Q2,90.7898,A,F,
Q,HR,N,628,0,,,,2016-Q3,91.695,A,F,
Q,HR,N,628,0,,,,2016-Q4,91.2424,A,F,
Q,HR,N,628,0,,,,2017-Q1,91.3329,A,F,
Q,HR,N,628,0,,,,2017-Q2,94.6821,A,F,
Q,HR,N,628,0,,,,2017-Q3,95.1346,A,F,
Q,HR,N,628,0,,,,2017-Q4,98.2123,A,F,
Q,HR,N,628,0,,,,2018-Q1,99.0269,A,F,
Q,HR,N,628,0,,,,2018-Q2,98.9364,A,F,
Q,HR,N,628,0,,,,2018-Q3,101.652,A,F,
Q,HR,N,628,0,,,,2018-Q4,102.7382,A,F,
Q,HR,N,628,0,,,,2019-Q1,106.4494,A,F,
Q,HR,N,628,0,,,,2019-Q2,109.165,A,F,
Q,HR,N,628,0,,,,2019-Q3,109.8891,A,F,
Q,HR,N,628,0,,,,2019-Q4,113.0573,A,F,
Q,HR,N,628,0,,,,2020-Q1,116.1349,A,F,
Q,HR,N,628,0,,,,2020-Q2,118.2168,A,F,
Q,HR,N,628,0,,,,2020-Q3,117.4926,A,F,
Q,HR,N,628,0,,,,2020-Q4,120.3892,A,F,
Q,HR,N,628,0,,,,2021-Q1,121.4754,A,F,
Q,HR,N,628,0,,,,2021-Q2,125.8203,A,F,
Q,HR,N,628,0,,,,2021-Q3,127.9928,A,F,
Q,HR,N,628,0,,,,2021-Q4,131.2514,A,F,
Q,HR,N,628,0,,,,2022-Q1,137.8592,A,F,
Q,HR,N,628,0,,,,2022-Q2,142.9283,A,F,
Q,HR,N,628,0,,,,2022-Q3,147.0016,A,F,
Q,HR,N,628,0,,,,2022-Q4,153.9715,A,F,
Q,HR,N,628,0,,,,2023-Q1,157.1396,A,F,
Q,HR,N,628,0,,,,2023-Q2,162.5707,A,F,
Q,HR,N,628,0,,,,2023-Q3,163.0233,A,F,
Q,HR,N,628,0,,,,2023-Q4,168.5449,A,F,
Q,HR,N,628,0,,,,2024-Q1,171.4415,A,F,
Q,HR,N,628,0,,,,2024-Q2,178.7735,A,F,
Q,HR,N,628,0,,,,2024-Q3,183.0278,A,F,
Q,HR,N,628,0,,,,2024-Q4,185.5623,A,F,
Q,HR,N,628,0,,,,2025-Q1,193.89,A,F,
Q,HR,N,628,0,,,,2025-Q2,202.4893,A,F,
Q,HR,N,628,0,,,,2025-Q3,208.2824,A,F,
Q,HR,N,628,0,,,,2025-Q4,215.3428,A,F,
Q,PH,N,628,0,,,,2008-Q1,95.8009,A,F,
Q,PH,N,628,0,,,,2008-Q2,100.8353,A,F,
Q,PH,N,628,0,,,,2008-Q3,101.118,A,F,
Q,PH,N,628,0,,,,2008-Q4,100.9196,A,F,
Q,PH,N,628,0,,,,2009-Q1,100.1905,A,F,
Q,PH,N,628,0,,,,2009-Q2,100.1924,A,F,
Q,PH,N,628,0,,,,2009-Q3,98.9068,A,F,
Q,PH,N,628,0,,,,2009-Q4,98.396,A,F,
Q,PH,N,628,0,,,,2010-Q1,98.396,A,F,
Q,PH,N,628,0,,,,2010-Q2,99.3225,A,F,
Q,PH,N,628,0,,,,2010-Q3,100.8124,A,F,
Q,PH,N,628,0,,,,2010-Q4,101.4691,A,F,
Q,PH,N,628,0,,,,2011-Q1,102.4175,A,F,
Q,PH,N,628,0,,,,2011-Q2,105.2168,A,F,
Q,PH,N,628,0,,,,2011-Q3,106.31,A,F,
Q,PH,N,628,0,,,,2011-Q4,108.3396,A,F,
Q,PH,N,628,0,,,,2012-Q1,113.1468,A,F,
Q,PH,N,628,0,,,,2012-Q2,114.5038,A,F,
Q,PH,N,628,0,,,,2012-Q3,115.1198,A,F,
Q,PH,N,628,0,,,,2012-Q4,117.0046,A,F,
Q,PH,N,628,0,,,,2013-Q1,121.3693,A,F,
Q,PH,N,628,0,,,,2013-Q2,125.6845,A,F,
Q,PH,N,628,0,,,,2013-Q3,130.0492,A,F,
Q,PH,N,628,0,,,,2013-Q4,134.3643,A,F,
Q,PH,N,628,0,,,,2014-Q1,137.7371,A,F,
Q,PH,N,628,0,,,,2014-Q2,141.0602,A,F,
Q,PH,N,628,0,,,,2014-Q3,144.433,A,F,
Q,PH,N,628,0,,,,2014-Q4,147.8057,A,F,
Q,PH,N,628,0,,,,2015-Q1,151.4761,A,F,
Q,PH,N,628,0,,,,2015-Q2,155.196,A,F,
Q,PH,N,628,0,,,,2015-Q3,158.8664,A,F,
Q,PH,N,628,0,,,,2015-Q4,162.5863,A,F,
Q,PH,N,628,0,,,,2016-Q1,168.1025,A,F,
Q,PH,N,628,0,,,,2016-Q2,175.6318,A,F,
Q,PH,N,628,0,,,,2016-Q3,172.405,A,F,
Q,PH,N,628,0,,,,2016-Q4,174.8635,A,F,
Q,PH,N,628,0,,,,2017-Q1,179.3196,A,F,
Q,PH,N,628,0,,,,2017-Q2,175.9391,A,F,
Q,PH,N,628,0,,,,2017-Q3,175.4782,A,F,
Q,PH,N,628,0,,,,2017-Q4,184.544,A,F,
Q,PH,N,628,0,,,,2018-Q1,182.5465,A,F,
Q,PH,N,628,0,,,,2018-Q2,183.9294,A,F,
