FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,XM,R,628,0,,,,1975-Q1,59.0375,A,F,
Q,XM,R,628,0,,,,1975-Q2,58.8342,A,F,
Q,XM,R,628,0,,,,1975-Q3,58.7068,A,F,
Q,XM,R,628,0,,,,1975-Q4,58.2582,A,F,
Q,XM,R,628,0,,,,1976-Q1,58.017,A,F,
Q,XM,R,628,0,,,,1976-Q2,59.3573,A,F,
Q,XM,R,628,0,,,,1976-Q3,60.4627,A,F,
Q,XM,R,628,0,,,,1976-Q4,60.1192,A,F,
Q,XM,R,628,0,,,,1977-Q1,59.8468,A,F,
Q,XM,R,628,0,,,,1977-Q2,60.6259,A,F,
Q,XM,R,628,0,,,,1977-Q3,61.4758,A,F,
Q,XM,R,628,0,,,,1977-Q4,61.9179,A,F,
Q,XM,R,628,0,,,,1978-Q1,62.4684,A,F,
Q,XM,R,628,0,,,,1978-Q2,63.0266,A,F,
Q,XM,R,628,0,,,,1978-Q3,63.7698,A,F,
Q,XM,R,628,0,,,,1978-Q4,64.4977,A,F,
Q,XM,R,628,0,,,,1979-Q1,65.7718,A,F,
Q,XM,R,628,0,,,,1979-Q2,66.5766,A,F,
Q,XM,R,628,0,,,,1979-Q3,66.3967,A,F,
Q,XM,R,628,0,,,,1979-Q4,64.9734,A,F,
Q,XM,R,628,0,,,,1980-Q1,64.0152,A,F,
Q,XM,R,628,0,,,,1980-Q2,65.0306,A,F,
Q,XM,R,628,0,,,,1980-Q3,67.0864,A,F,
Q,XM,R,628,0,,,,1980-Q4,68.074,A,F,
Q,XM,R,628,0,,,,1981-Q1,68.7297,A,F,
Q,XM,R,628,0,,,,1981-Q2,68.9245,A,F,
Q,XM,R,628,0,,,,1981-Q3,67.4979,A,F,
Q,XM,R,628,0,,,,1981-Q4,65.6337,A,F,
Q,XM,R,628,0,,,,1982-Q1,64.5831,A,F,
Q,XM,R,628,0,,,,1982-Q2,63.8352,A,F,
Q,XM,R,628,0,,,,1982-Q3,63.6232,A,F,
Q,XM,R,628,0,,,,1982-Q4,62.7278,A,F,
Q,XM,R,628,0,,,,1983-Q1,62.3228,A,F,
Q,XM,R,628,0,,,,1983-Q2,62.0532,A,F,
Q,XM,R,628,0,,,,1983-Q3,62.0335,A,F,
