KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-01,6.34,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-02,6.42,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-03,6.55,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-04,6.46,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-05,6.25,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-06,6.62,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-07,6.77,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-08,7.08,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-09,7.31,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-10,7.3,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-11,7.19,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1994-12,7.51,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-01,7.66,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-02,7.5,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-03,8.02,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-04,7.63,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-05,7.25,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA,M,U2,EUR,RT,MM,EURIBOR1YD_,HSTA,1995-06,7.24,A,F,,,P1M,,A,,,EURIBOR1YD=,,,,,,,,,,,,,,7,,,"Euribor 1-year - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 1-year - Historical close, average of observations through period - Euro, provided by Refinitiv",PCPA,0
